Abbot Laboratories ,Abbott Laboratories,0.85
AbbVie ,AbbVie Inc,0.666666666667
Accenture ,Accenture (EMEA),0.666666666667
Agilent Technologies ,Alliant Technologies, Llc,0.666666666667
Agilent Technologies ,Idata Technologies,0.634146341463
Agilent Technologies ,Sailpoint Technologies, Inc.,0.627450980392
AGL Resources ,Alta Resources,0.666666666667
Akamai Technologies ,Hexaware Technologies,0.651162790698
Akamai Technologies ,Idata Technologies,0.7
Alaska Air Group ,Alaska Air Group, Inc,0.682926829268
Alexion Pharmaceuticals ,Biomarin Pharmaceutical Inc.,0.62962962963
Allianz ,Allianz SE,0.736842105263
Amazon.com ,Amazon.com, Inc.,0.714285714286
Ambac Financial Group ,SSQ Financial Group,0.636363636364
American Airlines Group ,American Airlines, Inc.,0.64
American Express ,American Express Company,0.697674418605
American International Group ,American International Group, Inc,0.8
Ameriprise Financial ,Ameriprise Financial, Inc.,0.775510204082
AmerisourceBergen ,Amerisourcebergen Corporation,0.666666666667
AmTrust Financial Services ,Discover Financial Services,0.631578947368
AmTrust Financial Services ,Pscu Financial Services Inc,0.631578947368
Antero Resources ,Alta Resources,0.666666666667
Assa Abloy ,AssaAbloy,0.818181818182
Avago Technologies ,Idata Technologies,0.666666666667
Avalonbay Communities ,Avalonbay Communities, Inc.,0.78431372549
Avis Budget Group ,Avis Budget Group, Inc.,0.681818181818
Ayala Corporation ,CSX Corporation,0.628571428571
Ayala Corporation ,Intel Corporation,0.648648648649
Ayala Corporation ,Target Corporation,0.631578947368
Ayala Corporation ,Harris Corporation,0.631578947368
Ayala Corporation ,SLM Corporation,0.628571428571
Ayala Corporation ,Ball Corporation,0.722222222222
Ayala Corporation ,Acuative Corporation,0.65
Ayala Corporation ,Nvidia Corporation,0.631578947368
Ayala Corporation ,Zale Corporation,0.722222222222
Ayala Corporation ,Eaton Corporation,0.648648648649
Ayala Corporation ,Pramata Corporation,0.666666666667
Ayala Corporation ,Cigna Corporation,0.648648648649
Ayala Corporation ,GAF Corporation,0.685714285714
Ayala Corporation ,Sysco Corporation,0.648648648649
Ayala Corporation ,Pall Corporation,0.722222222222
Ayala Corporation ,Kohl's Corporation,0.631578947368
Ayala Corporation ,Doosan Corporation,0.631578947368
Ayala Corporation ,Azbil Corporation,0.702702702703
Ayala Corporation ,Unisys Corporation,0.631578947368
Ayala Corporation ,Global Bank Corporation,0.651162790698
Ayala Corporation ,Ameren Corporation,0.631578947368
Ayala Corporation ,CBS Corporation,0.628571428571
Ayala Corporation ,Seaboard Corporation,0.65
Ayala Corporation ,S1 Corporation,0.647058823529
Ayala Corporation ,Avista Corporation,0.684210526316
Ayala Corporation ,Markel Corporation,0.684210526316
Ayala Corporation ,Litera Corporation,0.631578947368
Ayala Corporation ,Alleghany Corporation,0.634146341463
Ayala Corporation ,Oracle Corporation,0.684210526316
Ayala Corporation ,Symantec Corporation,0.65
BAE Systems ,Aim Systems,0.64
Banco Bradesco ,Banco Bradesco S/A.,0.722222222222
Banco Comercial Portugues ,Banco Comercial PortugueÌ‚s, S.A.,0.707692307692
Banco Davivienda ,Banco Davivienda,0.857142857143
Bank of Communications ,Sorenson Communications,0.65306122449
Bank of Communications ,Canprint Communications,0.65306122449
Bank of Montreal ,Bank Of Montreal,0.722222222222
Bank of Nova Scotia ,Bank Of Nova Scotia,0.697674418605
Bank of Nova Scotia ,The Bank Of Nova Scotia,0.63829787234
Baxter International ,Gibraltar International Bank,0.627450980392
Bed Bath & Beyond ,Bed Bath & Beyond Inc.,0.636363636364
Berkshire Hathaway ,Berkshire Hathaway Inc.,0.772727272727
Bharat Petroeum ,Marathon Petroleum,0.666666666667
BioMarin Pharmaeutical ,Biomarin Pharmaceutical Inc.,0.754716981132
Boston Scientific ,Boston Scientific Corporation,0.65306122449
BS Financial Group ,SSQ Financial Group,0.731707317073
Cameron International ,Edison International,0.681818181818
Cameron International ,Commercial Bank International,0.679245283019
Cameron International ,Compassion International Inc,0.653846153846
Cameron International ,Magna International Inc,0.63829787234
Cameron International ,Energy Solutions International,0.62962962963
Campbell Soup ,Campbell Soup Company,0.648648648649
Capgemini ,Capgemini (EMEA),0.666666666667
Capital One Financial ,Capital One Financial Corporation,0.655172413793
Cardinal Health ,Cardinal Health, Inc.,0.717948717949
Caterpillar ,Caterpillar Inc.,0.758620689655
CCR ,CCR,0.75
CenterPoint Energy ,Centerpoint Energy, Inc.,0.711111111111
CenturyLink ,Centurylink, Inc.,0.666666666667
Charter Communications ,Rogers Communications Inc,0.64
Charter Communications ,Charter Communications,0.893617021277
Charter Communications ,Sorenson Communications,0.666666666667
Charter Communications ,Canprint Communications,0.75
Chicago Bridge & Iron ,Chicago Bridge and Iron,0.69387755102
China Taiping Insurance ,China Taiping Insurance Group Co,0.71186440678
Cisco Systems ,Co3 Systems.,0.642857142857
Cisco Systems ,Cisco Systems, Inc.,0.685714285714
Citigroup ,Citigroup Inc.,0.72
CNO Financial Group ,SSQ Financial Group,0.666666666667
CNO Financial Group ,Citizens Financial Group,0.63829787234
Commercial International Bank ,Commercial Bank International,0.741935483871
Commercial International Bank ,Gibraltar International Bank,0.655737704918
Computer Sciences ,Computer Sciences Corporation,0.65306122449
Constellation Brands ,Constellation Brands, Inc.,0.775510204082
Corporation  Bank ,S1 Corporation,0.628571428571
Credit Suisse Group ,Credit Suisse Group AG,0.755555555556
Cullen/Frost Bankers ,Cullen/Frost Bankers, Inc.,0.775510204082
Cummins ,Cummins Inc.,0.666666666667
Darden Restaurants ,Darden Restaurants, Inc.,0.755555555556
Dassault Systemes ,Dassault Systemes,0.864864864865
Deutsche Boerse ,Deutsche BÃ¶rse AG,0.631578947368
Deutsche Lufthansa ,Deutsche Lufthansa AG,0.809523809524
Deutsche Post ,Deutsche Post AG,0.75
Deutsche Telekom ,Deutsche Telekom AG,0.789473684211
DGB Financial Group ,SSQ Financial Group,0.666666666667
DGB Financial Group ,DGB Financial Group Co., Ltd.,0.653846153846
Diamler ,Daimler AG,0.631578947368
Dick's Sporting Goods ,Dicks Sporting Goods, Inc.,0.705882352941
Discover Financial Services ,Discover Financial Services,0.862068965517
Discover Financial Services ,Pscu Financial Services Inc,0.655172413793
Discovery Communications ,Rogers Communications Inc,0.653846153846
Discovery Communications ,Charter Communications,0.65306122449
Discovery Communications ,Sorenson Communications,0.64
Discovery Communications ,Vocera Communications, Inc.,0.62962962963
Ecolab ,Ecolab Inc.,0.631578947368
Edison International ,Edison International,0.883720930233
Edison International ,Compassion International Inc,0.627450980392
Edison International ,Energy Solutions International,0.641509433962
Embraer ,Embraer S/A.,0.666666666667
Emerson Electric ,Emerson Electric Co.,0.769230769231
Empire ,Empired,0.8
Equifax ,Equifax Inc.,0.666666666667
Ericsson ,Ericsson AB,0.761904761905
Erie Indemnity ,Erie Indemnity Company,0.666666666667
Erste Group Bank ,Erste Group Bank AG,0.717948717949
Essilor International ,Edison International,0.727272727273
Essilor International ,MGM Resorts International,0.65306122449
Essilor International ,Compassion International Inc,0.653846153846
Eversource Energy ,Eversource,0.666666666667
Expeditors International ,Edison International,0.723404255319
Expeditors International ,MGM Resorts International,0.653846153846
Expeditors International ,Expeditors International of Washington, Inc.,0.647887323944
Expeditors International ,Energy Solutions International,0.631578947368
Expeditors International ,CTERA Networks International,0.690909090909
Experian ,Serasa Experian,0.64
Express Scripts ,Express Scripts, Inc.,0.717948717949
Fidelity National Information ,Fidelity National Information Services, Inc.,0.701298701299
Financial Street Holdings ,Financial Street Holding Co., Ltd.,0.698412698413
FirstEnergy ,Firstenergy Corp.,0.666666666667
FMC Technologies ,HCL Technologies (APJ),0.634146341463
FMC Technologies ,In2 IT Technologies,0.631578947368
FMC Technologies ,Idata Technologies,0.648648648649
Fosun International ,Edison International,0.714285714286
Fosun International ,MGM Resorts International,0.63829787234
Fosun International ,Compassion International Inc,0.64
Frontier Communications ,Verizon Communications Inc.,0.641509433962
Frontier Communications ,Rogers Communications Inc,0.666666666667
Frontier Communications ,Charter Communications,0.75
Frontier Communications ,Sorenson Communications,0.69387755102
Frontier Communications ,Vocera Communications, Inc.,0.641509433962
Frontier Communications ,Canprint Communications,0.69387755102
GameStop Corporation ,CSX Corporation,0.631578947368
GameStop Corporation ,Target Corporation,0.682926829268
GameStop Corporation ,SLM Corporation,0.631578947368
GameStop Corporation ,Xerox Corporation,0.65
GameStop Corporation ,PG&e Corporation,0.666666666667
GameStop Corporation ,West Corporation,0.666666666667
GameStop Corporation ,Zale Corporation,0.666666666667
GameStop Corporation ,Eaton Corporation,0.7
GameStop Corporation ,Pramata Corporation,0.666666666667
GameStop Corporation ,GAF Corporation,0.631578947368
GameStop Corporation ,Sysco Corporation,0.65
GameStop Corporation ,TriZetto Corporation,0.651162790698
GameStop Corporation ,Ameren Corporation,0.634146341463
GameStop Corporation ,CBS Corporation,0.631578947368
GameStop Corporation ,S1 Corporation,0.648648648649
GameStop Corporation ,Markel Corporation,0.634146341463
GameStop Corporation ,Oracle Corporation,0.634146341463
Garanti Bank ,Garanti BankasÄ± A.S.,0.631578947368
GDF SUEZ ,GDF SUEZ,0.736842105263
General Electric ,General Electric Company,0.697674418605
General Mills ,General Mills, Inc.,0.685714285714
General Motors ,General Motors Company,0.666666666667
George Weston ,George Weston Limited,0.648648648649
Gilead Sciences ,Gilead Sciences, Inc.,0.717948717949
Givaudan ,Givaudan SA,0.761904761905
Glencore International ,MGM Resorts International,0.68
Goldin Financial Holdings ,Sony Financial Holdings Inc.,0.666666666667
H&M ,H&M,0.75
Hana Financial Group ,SSQ Financial Group,0.651162790698
