Abbot Laboratories ,Abbott Laboratories,0.85
Zimmer Holdings ,Zimmer Biomet Holdings, Inc.,0.608695652174
Zurich Insurance Group ,Commerce Insurance Group,0.64
Zurich Insurance Group ,Zurich Insurance Group AG,0.78431372549
Zurich Insurance Group ,Great American Insurance Group,0.607142857143
Whole Foods Market ,Whole Foods Market, Inc.,0.695652173913
Wilmar International ,Edison International,0.651162790698
Wilmar International ,Commercial Bank International,0.615384615385
Wilmar International ,Lexmark International, Inc.,0.64
Wilmar International ,Gibraltar International Bank,0.666666666667
Wilmar International ,Magna International Inc,0.608695652174
Wilmar International ,RHJ International SA,0.604651162791
Woori Bank ,Noor Bank,0.636363636364
Xerox ,Xero,0.727272727273
