Abbot Laboratories ,Abbott Laboratories,0.85
AbbVie ,AbbVie Inc,0.666666666667
Accenture ,Accenture (EMEA),0.666666666667
Agilent Technologies ,Alliant Technologies, Llc,0.666666666667
Agilent Technologies ,In2 IT Technologies,0.619047619048
Agilent Technologies ,Idata Technologies,0.634146341463
Agilent Technologies ,HostBridge Technologies,0.608695652174
Agilent Technologies ,Sailpoint Technologies, Inc.,0.627450980392
AGL Resources ,Alta Resources,0.666666666667
Akamai Technologies ,Hexaware Technologies,0.651162790698
Akamai Technologies ,Idata Technologies,0.7
Alaska Air Group ,Alaska Air Group, Inc,0.682926829268
Alexion Pharmaceuticals ,Biomarin Pharmaceutical Inc.,0.62962962963
Allianz ,Allianz SE,0.736842105263
Altria Group ,Almac Group,0.615384615385
Amazon.com ,Amazon.com, Inc.,0.714285714286
Ambac Financial Group ,SSQ Financial Group,0.636363636364
AmBank Group ,Almac Group,0.615384615385
American Airlines Group ,American Airlines, Inc.,0.64
American Express ,American Express Company,0.697674418605
American Financial Group ,Citizens Financial Group,0.615384615385
American International Group ,Commercial Bank International,0.622950819672
American International Group ,American International Group, Inc,0.8
Ameriprise Financial ,Ameriprise Financial, Inc.,0.775510204082
AmerisourceBergen ,Amerisourcebergen Corporation,0.666666666667
AmTrust Financial Services ,Discover Financial Services,0.631578947368
AmTrust Financial Services ,Pscu Financial Services Inc,0.631578947368
Anadarko Petroleum ,Marathon Petroleum,0.615384615385
Annaly Capital Management ,Millennium Capital Management, Inc,0.603174603175
AntarChile ,Entel Chile,0.608695652174
Antero Resources ,Alta Resources,0.666666666667
Aozora Bank ,Noor Bank,0.608695652174
ARM Holdings ,Rexel Holdings,0.620689655172
Arrow Electronics ,Crestron Electronics, Inc.,0.608695652174
Assa Abloy ,AssaAbloy,0.818181818182
Avago Technologies ,AIG Technologies, Inc.,0.604651162791
Avago Technologies ,Alliant Technologies, Llc,0.608695652174
Avago Technologies ,Hexaware Technologies,0.619047619048
Avago Technologies ,Tavant Technologies, Inc.,0.608695652174
Avago Technologies ,Idata Technologies,0.666666666667
Avalonbay Communities ,Avalonbay Communities, Inc.,0.78431372549
Avis Budget Group ,Avis Budget Group, Inc.,0.681818181818
Ayala Corporation ,CSX Corporation,0.628571428571
Ayala Corporation ,Intel Corporation,0.648648648649
Ayala Corporation ,Target Corporation,0.631578947368
Ayala Corporation ,Harris Corporation,0.631578947368
Ayala Corporation ,SLM Corporation,0.628571428571
Ayala Corporation ,PG&e Corporation,0.611111111111
Ayala Corporation ,Ball Corporation,0.722222222222
Ayala Corporation ,Acuative Corporation,0.65
Ayala Corporation ,West Corporation,0.611111111111
Ayala Corporation ,Nvidia Corporation,0.631578947368
Ayala Corporation ,Zale Corporation,0.722222222222
Ayala Corporation ,Eaton Corporation,0.648648648649
Ayala Corporation ,Pramata Corporation,0.666666666667
Ayala Corporation ,Cigna Corporation,0.648648648649
Ayala Corporation ,GAF Corporation,0.685714285714
Ayala Corporation ,City National Corporation,0.622222222222
Ayala Corporation ,Iberiabank Corporation,0.619047619048
Ayala Corporation ,Sysco Corporation,0.648648648649
Ayala Corporation ,Pall Corporation,0.722222222222
Ayala Corporation ,Kohl's Corporation,0.631578947368
Ayala Corporation ,Doosan Corporation,0.631578947368
Ayala Corporation ,Azbil Corporation,0.702702702703
Ayala Corporation ,Unisys Corporation,0.631578947368
Ayala Corporation ,Global Bank Corporation,0.651162790698
Ayala Corporation ,Ameren Corporation,0.631578947368
Ayala Corporation ,Arkansas Best Corporation,0.622222222222
Ayala Corporation ,CBS Corporation,0.628571428571
Ayala Corporation ,Moody's Corporation,0.615384615385
Ayala Corporation ,Intacct Corporation,0.615384615385
Ayala Corporation ,Seaboard Corporation,0.65
Ayala Corporation ,Fair Isaac Corporation,0.619047619048
Ayala Corporation ,S1 Corporation,0.647058823529
Ayala Corporation ,Avista Corporation,0.684210526316
Ayala Corporation ,Markel Corporation,0.684210526316
Ayala Corporation ,Litera Corporation,0.631578947368
Ayala Corporation ,Alleghany Corporation,0.634146341463
Ayala Corporation ,Oracle Corporation,0.684210526316
Ayala Corporation ,Informatica Corporation,0.604651162791
Ayala Corporation ,Symantec Corporation,0.65
BAE Systems ,Beta Systems,0.615384615385
BAE Systems ,Aim Systems,0.64
Banco Bradesco ,Banco Bradesco S/A.,0.722222222222
Banco Comercial Portugues ,Banco Comercial PortugueÌ‚s, S.A.,0.707692307692
Banco Davivienda ,Banco Davivienda,0.857142857143
Bank of Communications ,Charter Communications,0.625
Bank of Communications ,Sorenson Communications,0.65306122449
Bank of Communications ,Nuance Communications, Inc.,0.603773584906
Bank of Communications ,Canprint Communications,0.65306122449
Bank of Montreal ,Bank Of Montreal,0.722222222222
Bank of Nova Scotia ,Bank Of Nova Scotia,0.697674418605
Bank of Nova Scotia ,The Bank Of Nova Scotia,0.63829787234
BASF ,BASF SE,0.615384615385
Baxter International ,Edison International,0.604651162791
Baxter International ,Best Western International, Inc.,0.618181818182
Baxter International ,Gibraltar International Bank,0.627450980392
Baxter International ,Magna International Inc,0.608695652174
Baxter International ,RHJ International SA,0.604651162791
Baxter International ,Bdp International, Inc.,0.608695652174
Bed Bath & Beyond ,Bed Bath & Beyond Inc.,0.636363636364
Berkshire Hathaway ,Berkshire Hathaway Inc.,0.772727272727
Bharat Petroeum ,Marathon Petroleum,0.666666666667
Biogen Idec ,BioLegend,0.608695652174
BioMarin Pharmaeutical ,Biomarin Pharmaceutical Inc.,0.754716981132
Boston Scientific ,Boston Scientific Corporation,0.65306122449
BS Financial Group ,SSQ Financial Group,0.731707317073
BS Financial Group ,Citizens Financial Group,0.608695652174
BT Group ,BT Group Plc,0.608695652174
Cameron International ,Edison International,0.681818181818
Cameron International ,MGM Resorts International,0.612244897959
Cameron International ,CSG International Inc,0.622222222222
Cameron International ,Commercial Bank International,0.679245283019
Cameron International ,Compassion International Inc,0.653846153846
Cameron International ,Magna International Inc,0.63829787234
Cameron International ,Energy Solutions International,0.62962962963
Cameron International ,CTERA Networks International,0.615384615385
Campbell Soup ,Campbell Soup Company,0.648648648649
Capgemini ,Capgemini (EMEA),0.666666666667
Capital One Financial ,Capital One Financial Corporation,0.655172413793
Cardinal Health ,Cardinal Health, Inc.,0.717948717949
Caterpillar ,Caterpillar Inc.,0.758620689655
CCR ,CCR,0.75
CenterPoint Energy ,Centerpoint Energy, Inc.,0.711111111111
CenturyLink ,Centurylink, Inc.,0.666666666667
Charter Communications ,Verizon Communications Inc.,0.615384615385
Charter Communications ,Rogers Communications Inc,0.64
Charter Communications ,Charter Communications,0.893617021277
Charter Communications ,Sorenson Communications,0.666666666667
Charter Communications ,Vocera Communications, Inc.,0.615384615385
Charter Communications ,Nuance Communications, Inc.,0.615384615385
Charter Communications ,Canprint Communications,0.75
Chicago Bridge & Iron ,Chicago Bridge and Iron,0.69387755102
China Communications Services ,Charter Communications,0.618181818182
China Communications Services ,Canprint Communications,0.607142857143
China International Marine ,Magna International Inc,0.603773584906
China Life Insurance ,Allianz Taiwan Life Insurance,0.603773584906
China Taiping Insurance ,China Taiping Insurance Group Co,0.71186440678
Cisco Systems ,Co3 Systems.,0.642857142857
Cisco Systems ,Cisco Systems, Inc.,0.685714285714
Citigroup ,Citigroup Inc.,0.72
CNO Financial Group ,Cno Financial Group, Inc.,0.625
CNO Financial Group ,SSQ Financial Group,0.666666666667
CNO Financial Group ,Citizens Financial Group,0.63829787234
Commercial International Bank ,Commercial Bank International,0.741935483871
Commercial International Bank ,Gibraltar International Bank,0.655737704918
Computer Sciences ,Computer Sciences Corporation,0.65306122449
Constellation Brands ,Constellation Brands, Inc.,0.775510204082
Corporation  Bank ,CSX Corporation,0.611111111111
Corporation  Bank ,SLM Corporation,0.611111111111
Corporation  Bank ,GAF Corporation,0.611111111111
Corporation  Bank ,CBS Corporation,0.611111111111
Corporation  Bank ,S1 Corporation,0.628571428571
Credit Agricole ,Credit Agricole (Suisse) SA,0.622222222222
Credit Suisse Group ,Credit Suisse Group AG,0.755555555556
Crown Holdings ,Cdw Holdings LLC,0.606060606061
Crown Holdings ,Carlson Holdings, Inc.,0.615384615385
Cullen/Frost Bankers ,Cullen/Frost Bankers, Inc.,0.775510204082
Cummins ,Cummins Inc.,0.666666666667
Darden Restaurants ,Darden Restaurants, Inc.,0.755555555556
Dassault Systemes ,Dassault Systemes,0.864864864865
Deutsche Boerse ,Deutsche BÃ¶rse AG,0.631578947368
Deutsche Lufthansa ,Deutsche Lufthansa AG,0.809523809524
Deutsche Post ,Deutsche Post AG,0.75
Deutsche Telekom ,Deutsche Telekom AG,0.789473684211
DGB Financial Group ,SSQ Financial Group,0.666666666667
DGB Financial Group ,DGB Financial Group Co., Ltd.,0.653846153846
Diamler ,Daimler AG,0.631578947368
Dick's Sporting Goods ,Dicks Sporting Goods, Inc.,0.705882352941
Discover Financial Services ,Discover Financial Services,0.862068965517
Discover Financial Services ,Pscu Financial Services Inc,0.655172413793
Discovery Communications ,Rogers Communications Inc,0.653846153846
Discovery Communications ,Charter Communications,0.65306122449
Discovery Communications ,Sorenson Communications,0.64
Discovery Communications ,Vocera Communications, Inc.,0.62962962963
Ecolab ,Ecolab Inc.,0.631578947368
Edison International ,Edison International,0.883720930233
Edison International ,MGM Resorts International,0.625
Edison International ,Compassion International Inc,0.627450980392
Edison International ,Magna International Inc,0.608695652174
Edison International ,RHJ International SA,0.604651162791
Edison International ,Energy Solutions International,0.641509433962
Edison International ,Bdp International, Inc.,0.608695652174
Embraer ,Embraer S/A.,0.666666666667
