Abbot Laboratories ,Abbott Laboratories,0.85
AbbVie ,AbbVie Inc,0.666666666667
Accenture ,Accenture (EMEA),0.666666666667
Agilent Technologies ,Alliant Technologies, Llc,0.666666666667
AGL Resources ,Alta Resources,0.666666666667
Akamai Technologies ,Hexaware Technologies,0.651162790698
Akamai Technologies ,Idata Technologies,0.7
Alaska Air Group ,Alaska Air Group, Inc,0.682926829268
Allianz ,Allianz SE,0.736842105263
Amazon.com ,Amazon.com, Inc.,0.714285714286
American Express ,American Express Company,0.697674418605
American International Group ,American International Group, Inc,0.8
Ameriprise Financial ,Ameriprise Financial, Inc.,0.775510204082
AmerisourceBergen ,Amerisourcebergen Corporation,0.666666666667
Antero Resources ,Alta Resources,0.666666666667
Assa Abloy ,AssaAbloy,0.818181818182
Avago Technologies ,Idata Technologies,0.666666666667
Avalonbay Communities ,Avalonbay Communities, Inc.,0.78431372549
Avis Budget Group ,Avis Budget Group, Inc.,0.681818181818
Ayala Corporation ,Ball Corporation,0.722222222222
Ayala Corporation ,Zale Corporation,0.722222222222
Ayala Corporation ,Pramata Corporation,0.666666666667
Ayala Corporation ,GAF Corporation,0.685714285714
Ayala Corporation ,Pall Corporation,0.722222222222
Ayala Corporation ,Azbil Corporation,0.702702702703
Ayala Corporation ,Global Bank Corporation,0.651162790698
Ayala Corporation ,Avista Corporation,0.684210526316
Ayala Corporation ,Markel Corporation,0.684210526316
Ayala Corporation ,Oracle Corporation,0.684210526316
Banco Bradesco ,Banco Bradesco S/A.,0.722222222222
Banco Comercial Portugues ,Banco Comercial PortugueÌ‚s, S.A.,0.707692307692
Banco Davivienda ,Banco Davivienda,0.857142857143
Bank of Communications ,Sorenson Communications,0.65306122449
Bank of Communications ,Canprint Communications,0.65306122449
Bank of Montreal ,Bank Of Montreal,0.722222222222
Bank of Nova Scotia ,Bank Of Nova Scotia,0.697674418605
Berkshire Hathaway ,Berkshire Hathaway Inc.,0.772727272727
Bharat Petroeum ,Marathon Petroleum,0.666666666667
BioMarin Pharmaeutical ,Biomarin Pharmaceutical Inc.,0.754716981132
Boston Scientific ,Boston Scientific Corporation,0.65306122449
BS Financial Group ,SSQ Financial Group,0.731707317073
Cameron International ,Edison International,0.681818181818
Cameron International ,Commercial Bank International,0.679245283019
Cameron International ,Compassion International Inc,0.653846153846
Capgemini ,Capgemini (EMEA),0.666666666667
Capital One Financial ,Capital One Financial Corporation,0.655172413793
Cardinal Health ,Cardinal Health, Inc.,0.717948717949
Caterpillar ,Caterpillar Inc.,0.758620689655
CCR ,CCR,0.75
CenterPoint Energy ,Centerpoint Energy, Inc.,0.711111111111
CenturyLink ,Centurylink, Inc.,0.666666666667
Charter Communications ,Charter Communications,0.893617021277
Charter Communications ,Sorenson Communications,0.666666666667
Charter Communications ,Canprint Communications,0.75
Chicago Bridge & Iron ,Chicago Bridge and Iron,0.69387755102
China Taiping Insurance ,China Taiping Insurance Group Co,0.71186440678
Cisco Systems ,Cisco Systems, Inc.,0.685714285714
Citigroup ,Citigroup Inc.,0.72
CNO Financial Group ,SSQ Financial Group,0.666666666667
Commercial International Bank ,Commercial Bank International,0.741935483871
Commercial International Bank ,Gibraltar International Bank,0.655737704918
Computer Sciences ,Computer Sciences Corporation,0.65306122449
Constellation Brands ,Constellation Brands, Inc.,0.775510204082
Credit Suisse Group ,Credit Suisse Group AG,0.755555555556
Cullen/Frost Bankers ,Cullen/Frost Bankers, Inc.,0.775510204082
Cummins ,Cummins Inc.,0.666666666667
Darden Restaurants ,Darden Restaurants, Inc.,0.755555555556
Dassault Systemes ,Dassault Systemes,0.864864864865
Deutsche Lufthansa ,Deutsche Lufthansa AG,0.809523809524
Deutsche Post ,Deutsche Post AG,0.75
Deutsche Telekom ,Deutsche Telekom AG,0.789473684211
DGB Financial Group ,SSQ Financial Group,0.666666666667
DGB Financial Group ,DGB Financial Group Co., Ltd.,0.653846153846
Dick's Sporting Goods ,Dicks Sporting Goods, Inc.,0.705882352941
Discover Financial Services ,Discover Financial Services,0.862068965517
Discover Financial Services ,Pscu Financial Services Inc,0.655172413793
Discovery Communications ,Rogers Communications Inc,0.653846153846
Discovery Communications ,Charter Communications,0.65306122449
Edison International ,Edison International,0.883720930233
Embraer ,Embraer S/A.,0.666666666667
Emerson Electric ,Emerson Electric Co.,0.769230769231
Empire ,Empired,0.8
Equifax ,Equifax Inc.,0.666666666667
Ericsson ,Ericsson AB,0.761904761905
Erie Indemnity ,Erie Indemnity Company,0.666666666667
Erste Group Bank ,Erste Group Bank AG,0.717948717949
Essilor International ,Edison International,0.727272727273
Essilor International ,MGM Resorts International,0.65306122449
Essilor International ,Compassion International Inc,0.653846153846
Eversource Energy ,Eversource,0.666666666667
Expeditors International ,Edison International,0.723404255319
Expeditors International ,MGM Resorts International,0.653846153846
Expeditors International ,CTERA Networks International,0.690909090909
Express Scripts ,Express Scripts, Inc.,0.717948717949
Fidelity National Information ,Fidelity National Information Services, Inc.,0.701298701299
Financial Street Holdings ,Financial Street Holding Co., Ltd.,0.698412698413
FirstEnergy ,Firstenergy Corp.,0.666666666667
Fosun International ,Edison International,0.714285714286
Frontier Communications ,Rogers Communications Inc,0.666666666667
Frontier Communications ,Charter Communications,0.75
Frontier Communications ,Sorenson Communications,0.69387755102
Frontier Communications ,Canprint Communications,0.69387755102
GameStop Corporation ,Target Corporation,0.682926829268
GameStop Corporation ,PG&e Corporation,0.666666666667
GameStop Corporation ,West Corporation,0.666666666667
GameStop Corporation ,Zale Corporation,0.666666666667
GameStop Corporation ,Eaton Corporation,0.7
GameStop Corporation ,Pramata Corporation,0.666666666667
GameStop Corporation ,TriZetto Corporation,0.651162790698
GDF SUEZ ,GDF SUEZ,0.736842105263
General Electric ,General Electric Company,0.697674418605
General Mills ,General Mills, Inc.,0.685714285714
General Motors ,General Motors Company,0.666666666667
Gilead Sciences ,Gilead Sciences, Inc.,0.717948717949
Givaudan ,Givaudan SA,0.761904761905
Glencore International ,MGM Resorts International,0.68
Goldin Financial Holdings ,Sony Financial Holdings Inc.,0.666666666667
H&M ,H&M,0.75
Hana Financial Group ,SSQ Financial Group,0.651162790698
Harley Davidson ,Harley-Davidson, Inc.,0.717948717949
Harman International ,Edison International,0.651162790698
Harman International ,Magna International Inc,0.652173913043
Harman International ,RHJ International SA,0.651162790698
Hartford Financial Services ,The Hartford Financial Services Group Inc,0.694444444444
HCL Technologies ,HCL Technologies (EMEA),0.714285714286
HCL Technologies ,HCL Technologies (APJ),0.731707317073
Helvetia Holding ,Helvetia Holding AG,0.789473684211
Hengan International Group ,American International Group, Inc,0.666666666667
Hermes International ,Edison International,0.651162790698
Hermes International ,RHJ International SA,0.651162790698
Hewlett‐Packard ,Hewlett Packard Company,0.666666666667
Hexagon ,Hexagon AB,0.736842105263
Honeywell International ,Edison International,0.652173913043
Honeywell International ,Honeywell International Inc.,0.814814814815
Huntington Ingals Industries ,Huntington Ingalls Industries, Inc.,0.776119402985
Huntington Ingals Industries ,Huntington Ingalls Industries,0.852459016393
Hutchisoon Whampoa ,Hutchison Whampoa Limited,0.695652173913
Infineon Technologies ,In2 IT Technologies,0.651162790698
IntercontinentalExchange ,Intercontinentalexchange, Inc.,0.821428571429
International Airlines ,International Airlines Group (IAG),0.71186440678
International Paper ,International Paper Company,0.734693877551
Intuitive Surgical ,Intuitive Surgical, Inc.,0.755555555556
Invesco ,Invesco Ltd.,0.666666666667
JB Financial Group ,SSQ Financial Group,0.682926829268
Johnson Controls ,Johnson Controls, Inc.,0.731707317073
Jyske Bank ,Jyske Bank A/S,0.666666666667
KB Financial Group ,SSQ Financial Group,0.682926829268
KeyCorp ,Keycorp,0.75
Liberty Global ,Liberty Global,0.838709677419
LIG Insurance ,AG Insurance,0.714285714286
London Stock Exchange ,London Stock Exchange,0.826086956522
Magna International ,Edison International,0.666666666667
Magna International ,Magna International Inc,0.8
Manpower ,Manpower Inc.,0.695652173913
Manulife Financial ,Manulife Financial Corporation,0.666666666667
Marathon Petroleum ,Marathon Petroleum,0.871794871795
Marriott International ,Edison International,0.666666666667
Mastercard ,MasterCard,0.818181818182
Mattel ,Datotel,0.666666666667
Medtronic ,Medtronic, Inc.,0.692307692308
Meritz Financial Group ,Citizens Financial Group,0.68
Milicom International ,Edison International,0.681818181818
Milicom International ,Millicom International Cellular SA,0.689655172414
Mondelez International ,Edison International,0.666666666667
Monsanto ,Monsanto,0.888888888889
Morgan Stanley ,Morgan Stanley,0.838709677419
Natixis ,Natixis,0.875
Newell Rubbermaid ,Newell Rubbermaid Inc.,0.761904761905
Nordea Bank ,Nordea Bank AB,0.714285714286
Novatek ,Novatel,0.75
Office Depot ,Office Depot, Inc.,0.666666666667
Old Republic International ,Old Republic International Corporation,0.705882352941
Oracle ,Oracle,0.857142857143
Orient ,Aricent,0.666666666667
OTP Bank ,OTP Bank,0.736842105263
Permanent TSB Group ,Permanent TSB,0.666666666667
Pharmacyclics ,Pharmacyclics,0.928571428571
Philips ,Phillips66,0.736842105263
Phillilps 66 ,Phillips66,0.8
Pioneer Natural Resources ,Pioneer Natural Resources Company,0.741935483871
PNC Financial Services ,Pscu Financial Services Inc,0.679245283019
Prologis ,Prologis, Inc.,0.666666666667
Raymond James Financial ,Raymond James Financial, Inc.,0.75
Reliance Industries ,Medline Industries, Inc.,0.652173913043
Republic Services ,Republic Services, Inc.,0.744186046512
Resolution ,zak solution,0.666666666667
Roche Holding ,Roche Holding AG,0.75
Rockwell Collins ,Rockwell Collins, Inc.,0.731707317073
Rogers Communications ,Rogers Communications Inc,0.816326530612
